,ï»¿Review_title,Body,new_reviews
0,This is the best college one could get into NITT,"College Infrastructure
This is 800 acres campus the largest among all NIT's not to brag this is the best college I could get into. There are so many facilities in NIT Trichy, There are so many hostels for boys and girls with various types of rooms. The institution has a modern central library. Our institution also have a sports complex that has all kinds of indoor and outdoor sports. The wifi in our hostel rooms is very fast and there are various food messes for different people and its completely hygienic there.
Academics
I opted Instrumentation and Control Engineering shortly termed as ICE here which is basically a Circuital and non-circuital branch, which is also the main reason I opted this course because I can have exposure to both the sectors. This course mainly deals with the controlling of Sensory machines and Jobs like controlling engineer is perfectly suitable. The faculty working here are highly qualified and they teach really great although a bit strict though. the curriculum is perfectly updated here
Placements
Our branch has high percentage of placed students from past 7 years. There are many MNC's and startup coming from various sectors and offering various types of jobs through our placement cell. not only my branch every brach has average of 90-95% of placed students and highest is 42 LPA from CSE department. the average salary packages differ for department but in common it will be around 9-12 LPA, The process is so easy for placements cause placement cell will be guiding you and it is supportive
Value-for-money
As of first year the fee structure is bit high compared to remaining years So considering all expenses in mind it will be like 1.4 Lakhs in first semester but from them the fees will be like 75-80,000 as I was in my home because of COVID for two years I did'nt need to pay my hostel fee so It is reduced compared to above figures. Off course I feel worth for this money because compared to private Institutions and other NIT's this is relatively less and I have a great campus, excellent education.
Campus Life
Its really good because college life is best as a teenager and here in NIT-T you have various types of entertaining, technical clubs where you can develop your knowledge and Improve your social skills. There is Pragyan and other cultural fests which are one of the biggest events in India so you'll definitely. The support staff is so polite and helps you in knowing about their local langauge. Yes it is safe because we have hospital in case of emergency and people here also so kind you can be good
Anything Else
as I almost told everything in the above lines there isn't much to add but this is The best college I can get into in my life cause I overcame my fears with what I have learnt from here and there are many good activities one can do either sports or academical. SO, I would recommend anyone to join in my college if they have a better score in JEE .

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure this 800 acre campus large among nits brag good college I could get there many facility NIT Trichy there many hostel boy girl various type room the institution modern central library our institution also sport complex kind indoor outdoor sport the wifi hostel room fast various food mess different people completely hygienic Academics I opt Instrumentation Control Engineering shortly term ICE basically Circuital noncircuital branch also main reason I opt course I exposure sector this course mainly deal control sensory machine job like control engineer perfectly suitable the faculty work highly qualified teach really great although bit strict though curriculum perfectly update placement our branch high percentage place student past 7 year there many mnc startup come various sector offer various type job placement cell branch every brach average 9095 place student high 42 LPA CSE department average salary package differ department common around 912 LPA the process easy placement cause placement cell guide supportive Valueformoney as first year fee structure bit high compare remain year so consider expense mind like 14 Lakhs first semester fee like 7580000 I home COVID two year I do not need pay hostel fee it reduce compare figure off course I feel worth money compare private Institutions NITs relatively less I great campus excellent education Campus Life its really good college life well teenager NITT various type entertain technical club develop knowledge improve social skill there Pragyan cultural fest one big event India you ll definitely the support staff polite help know local langauge yes safe hospital case emergency people also kind good anything else I almost tell everything line be not much add the good college I get life cause I overcome fear I learn many good activity one either sport academical so I would recommend anyone join college well score JEE Infrastructure Placements Academics Value Money Campus Life
1,Life in Nit Trichy,"College Infrastructure
The infrastructure is too good for a student who come here by completing their schooling in iit academies like sri chaitanya,narayana etc., The campus is wide and vast and you need to have a bicycle to roam inside the campus. Hostels are quiet good with 2 or 3 members per room. Sanitization is good. Wifi is available in hostels. All the hostel blocks and academic buildings are well built. Some of them are old but still pretty enough to be.
Academics
I am doing my graduation in Instrumentation and control Engineering which is a tough subject with tough faculty and with little bit of difficulty in terms of gaining good grades. The teaching is not bad , although self learning is the path i chose mostly. I am gonna go through my placements next year
Placements
I haven't been upto placements yet but as far as I know the placements are really good for our branch. U can get placed into software , electronics or core roles. All of them will be opened to our branch.
Value-for-money
Although the fee felt too high during the online sem(corona period), It is good value for money during offline sem.
Campus Life
As far as I consider the campus life is pretty good with different type of fests and entertaining club events which allows you to get socialized and learn many things during your college period.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure the infrastructure good student come complete school iit academy like sri chaitanyanarayana etc the campus wide vast need bicycle roam inside campus Hostels quiet good 2 3 member per room sanitization good Wifi available hostel all hostel block academic building well build some old still pretty enough Academics I graduation instrumentation control engineering tough subject tough faculty little bit difficulty term gain good grade the teaching bad although self learn path choose mostly I going to go placement next year placement I have not upto placement yet far I know placement really good branch u get place software electronic core role all open branch Valueformoney although fee feel high online semcorona period it good value money offline sem Campus Life as far I consider campus life pretty good different type fest entertain club event allow get socialize learn many thing college period Infrastructure Placements Academics Value Money Campus Life
2,Feeling happy for getting into such a good college,"College Infrastructure
Yes,it's hygienic and same ssufficient equipments are provided. There was a playground for girls and boys ,basket ball court ,tennis courts and gyms also . Even though the infrastructure was old it was good to stay there.
Academics
Good, professors are giving us advices regarding the future exams and internships ,they are guiding us every year ,every month,every week,every day and they are encouraging us very well through out my acads.
Placements
Placements were very good and every one are able to place.every department is getting its 100 percentage of placements every year except some of the departments ,minimum of 80 % placements are recorded every year in each and every department.
Value-for-money
The services of college are good and value for money
Campus Life
Such a supporting seniors and faculty throughout my academics
Anything Else
Ntg ,it s a very good college

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure Yesits hygienic ssufficient equipment provide there playground girl boy basket ball court tennis court gym also even though infrastructure old good stay Academics good professor give we advice regard future exam internship guide we every year every monthevery weekevery day encourage we well acad Placements Placements good every one able placeevery department get 100 percentage placement every year except department minimum 80 placement record every year every department Valueformoney the service college good value money Campus Life such support senior faculty throughout academic Anything else Ntg good college Infrastructure Placements Academics Value Money Campus Life
3,The best college for all round activities,"College Infrastructure
The infrastructure here is just fab. There is all kind of facilities available in the campus beginning from sports, food to wifi facility at library and in the hostel rooms. The institute has a central library and it has more than 2L documents. There are a total of 18 boys and 5 girls hostel rooms including the post graduate students.
Academics
I am pursuing master of computer applications and the professors here like to stay in discipline and apply the same on the students. But on the other hand the faculty staff is very helpful in every way possible.
Placements
The placements of this college is best among all the nits. Around 90% students of our batch gets placed. Microsoft ,Amazon, Google , Infosys comes for recruitment. The lowest salary package offered here is 3.6L by Infosys and the average stays between 10-12L per annum.
Value-for-money
Studying in this college is absolutely worth because you are getting placed with such high salaries and the fees required here is very less. Additionally , there is also various scholarships available for the students.
Campus Life
The campus size is around 850-900 acres full of greenery. The weather is a plus. Various fests are organised in the college and there are various activities available in the clubs of nit Trichy. In the campus there is also hospital situated for any kind of emergency.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure the infrastructure fab there kind facility available campus begin sport food wifi facility library hostel room the institute central library 2L document there total 18 boy 5 girl hostel room include post graduate student Academics I pursue master computer application professor like stay discipline apply student but hand faculty staff helpful every way possible placement the placement college well among nit around 90 student batch gets place Microsoft Amazon Google Infosys come recruitment the low salary package offer 36l Infosys average stay 1012l per annum Valueformoney Studying college absolutely worth getting place high salary fee require less additionally also various scholarship available student Campus Life the campus size around 850900 acre full greenery the weather plus various fest organise college various activity available club nit Trichy in campus also hospital situate kind emergency Infrastructure Placements Academics Value Money Campus Life
4,Very nice.,"College Infrastructure
The infrastructure of NIT Trichy is well framed. There is ambulance facility in our college. We have different laboratories various courses. Hostels and messes are well maintained. There are badminton courts, cafeteria and many more facilities for the students.
Academics
The professors are well experienced and are very good in their fields. Complete syllabus is taught along with lab experiments. All the study materials provided by the teachers are of high quality. The course has a wide scope of opportunities.
Placements
NIT Trichy is known for the placement. More than 80% of students get placed every year and this percentage has been increasing each year. The management and HODs are really supportive. Hope will explore more ahead.
Campus Life
There are multiple activities in which the students are involved like Aaveg, and other competitions organised in the college. It's wonderful to explore in different fields. Along with the studies there are provision for going into sports, social services and army.
Anything Else
Waiting eagerly for the reopening of the college.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure the infrastructure NIT Trichy well frame there ambulance facility college we different laboratory various course Hostels mess well maintain there badminton court cafeteria many facility student Academics the professor well experience good field Complete syllabus teach along lab experiment all study material provide teacher high quality the course wide scope opportunitie placement NIT Trichy know placement More 80 student get place every year percentage increase year the management hod really supportive hope explore ahead Campus Life there multiple activity student involve like Aaveg competition organise college its wonderful explore different field along study provision go sport social service army Anything else wait eagerly reopen college Infrastructure Placements Academics Value Money Campus Life
5,Excellent experience,"College Infrastructure
Everything is too good to see from outside except hostels. But hostels are not bad from inside. They are satisfactory. U will have breath taking views for many of the blocks. But everything is far from each.
Academics
Less practical experience. Just like general local college. Don't over expect thinking it is one of the top colleges in India. The syllabus they deal and how they deal is pretty tedious and not interesting.
Placements
Software and analytics companies will be tonne. Core companies are less for civil . Core branches will chose highers. For cse, ece, mec, production, there will be a huge placement percentage every year.
Value-for-money
Fee is very less than expected. It's worthy Academic fees 62500 per sem Mess fess 15000 per sem Another fess 22000 per year Scholarships are provided on the basis of income as 1-5lakh 2/3 tuition fee And merit scholarship is also there on basis of marks
Campus Life
It's like floating in river with others for no reason. There are a myriad of opportunities but you don't know where to go. U will develop laziness. The blocks are very far from each others. U will be very tired and dead to move here and there even on a bicycle.
Anything Else
Yes it's great college to complete your btech degree with good placement

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure everything good see outside except hostel but hostel bad inside they satisfactory u breath take view many block but everything far Academics less practical experience just like general local college do not expect think one top college India the syllabus deal deal pretty tedious interesting placement Software analytic company tonne Core company less civil Core branch choose higher for cse ece mec production huge placement percentage every year Valueformoney Fee less expect its worthy academic fee 62500 per sem Mess fess 15000 per sem another fess 22000 per year scholarship provide basis income 15lakh 23 tuition fee and merit scholarship also basis mark Campus Life its like float river other reason there myriad opportunity do not know go U develop laziness the block far other u tired dead move even bicycle anything Else yes great college complete btech degree good placement Infrastructure Placements Academics Value Money Campus Life
6,magnificent,"College Infrastructure
When i was there infrastructure was average but library was well settled with proper books and sports ground was there and hostel was too good with proper food and classroom had white board Lab had with proper equipment and sports equipment was also there hosteler can Play game at any time
Academics
I was the students of mtech at industrial safety engineering . I am from an old batch 2008 . At that time according to that conditions teacher was very updated they make us understand each and evey topic and prepare us for entrance job .
Placements
When i was there placement was not a priority for college. At that time college more focus on practical knowledge and theories knowledge but some of my batch mate had selected on private limited company and students moreover focus on government they start preparing for government they not even sit on the placement interview soo competition was soo less at that.
Value-for-money
Fee was soo feasible for me and even for my batch mate and we can pay fee in installments through cash and there are no of scholarship on the basis of number and annual income and ranks also.
Campus Life
Campus Life is amazing here. You have a your own beach which you can go anytime you want (except during night time when there are high tides). But, never go for swimming in the water as chances of drowning is very high in those waters. We have amazing seniors to help, two fests, one ENGINEER (technical fest), and the other INCIDENT (cultural fest). INCIDENT is the best fest overall as it is the second largest fest in whole of South India after IIT Bombay's MOOD INDIGO.
Anything Else
It was a great experience i had Coming to this college had changed my life. It not only provide me theories knowledge also practical knowledge which now i am using in my work and it's moreover focus on overall development and work on you dream.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",college Infrastructure when infrastructure average library well settle proper book sport ground hostel good proper food classroom white board Lab proper equipment sport equipment also hosteler Play game time Academics I student mtech industrial safety engineering I old batch 2008 at time accord condition teacher update make we understand evey topic prepare we entrance job placement when placement priority college at time college focus practical knowledge theory knowledge batch mate select private limited company student moreover focus government start prepare government even sit placement interview soo competition soo less Valueformoney Fee soo feasible even batch mate pay fee installment cash scholarship basis number annual income rank also Campus Life Campus Life amazing you beach go anytime want except night time high tide but never go swimming water chance drown high water we amazing senior help two fest one engineer technical f INCIDENT cultural f incident well f overall second large f whole south India IIT Bombays mood INDIGO anything else it great experience come college change life it provide theory knowledge also practical knowledge use work moreover focus overall development work dream infrastructure Placements Academics Value Money Campus Life
7,Excellent with good theory and practical knowledge,"College Infrastructure
Infrastructure is too good hotel are ok but not up to date they are updated . But hostel are good from inside infrastructure is too big you have to walk a lot a see completely college acre and here classroom are good with library and sports are too good and hostel are nice
Academics
I am pursing b tech in civil Engeenering college provide us a good practical experience but more over college mostly focus on Theory part . And this college of the best for civil because of updated course. And teacher are well supportive help you a lot
Placements
Placement for btech are good but in reality for civil they are not good at all software company for computer science and mechanical automobile are placed at good company . There is high placement percentage for other branch near about 13-16 lakh per annum
Value-for-money
Fee is very less then excepted soo it's worth me to study here and according to quality of study fee is too good
Campus Life
The campus life is most beautiful part of the college. Due to presence such a huge and beautiful campus the life is full of joy. Apart from these there are too much fun is going on in the form of fests, dj nights, parties, workshops, clubs, and many more other activities in each field, hence the campus life is literally lit.
Anything Else
Great experience actually when i join the college there was exception for me a good internship, placement good practical knowledge morally speaking i fullfill ny exception. Here from 1 and 2 year professor start preparing for interview and internship. Good internship may enhance you chance to get hier in company . So genuinely i got my dream

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure Infrastructure good hotel ok date update but hostel good inside infrastructure big walk lot see completely college acre classroom good library sport good hostel nice Academics I purse b tech civil engeenering college provide we good practical experience college mostly focus theory part and college good civil update course and teacher well supportive help lot Placements Placement btech good reality civil good software company computer science mechanical automobile place good company there high placement percentage branch near 1316 lakh per annum Valueformoney Fee less except soo worth study accord quality study fee good Campus Life the campus life beautiful part college due presence huge beautiful campus life full joy apart much fun go form fest dj night party workshop club many activity field hence campus life literally light anything else great experience actually join college exception good internship placement good practical knowledge morally speak fullfill ny exception here 1 2 year professor start prepare interview internship good internship may enhance chance get hi company so genuinely get dream infrastructure Placements Academics Value Money Campus Life
8,My view,"College Infrastructure
Everything is too good to see from outside except hostels. But hostels are not bad from inside. They are satisfactory. U will have breath taking views for many of the blocks. But everything is far from each.
Academics
Less practical experience. Just like general local college. Don't over expect thinking it is one of the top colleges in India. The syllabus they deal and how they deal is pretty tedious and not interesting.
Placements
Software and analytics companies will be tonne. Core companies are less for civil . Core branches will chose highers. For cse, ece, mec, production, there will be a huge placement percentage every year.
Value-for-money
Fee is very less than expected. It's worthy
Campus Life
It's like floating in river with others for no reason. There are a myriad of opportunities but you don't know where to go. U will develop laziness. The blocks are very far from each others. U will be very tired and dead to move here and there even on a bicycle.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure everything good see outside except hostel but hostel bad inside they satisfactory u breath take view many block but everything far Academics less practical experience just like general local college do not expect think one top college India the syllabus deal deal pretty tedious interesting placement Software analytic company tonne Core company less civil Core branch choose higher for cse ece mec production huge placement percentage every year Valueformoney Fee less expect its worthy Campus Life its like float river other reason there myriad opportunity do not know go U develop laziness the block far other u tired dead move even bicycle Infrastructure Placements Academics Value Money Campus Life
9,Wonderful,"College Infrastructure
Great infrastructure, well equipped labs. Library has wide range of books. The campus is wifi enabled. All the facilities are used and well maintained. The living spaces are clean and hygiene is well taken care of.
Academics
The quality of teaching is good. Professors are really knowledgeable. Recent developments in the field are discussed. Had good number of electives that students can take during their 3rd and 4th year.
Placements
It has 100% placement. The placement process is very well regulated and is fair. The college is very supportive when it comes to placements. Trainings for Placements are also provided on regular basis.
Value-for-money
Definitely.
Campus Life
There are multiple clubs that students can be a part of. Regarding emergencies, we have on-campus hospital and ambulance facilities.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",college Infrastructure great infrastructure well equip lab Library wide range book the campus wifi enable all facility use well maintain the live space clean hygiene well take care Academics the quality teach good professor really knowledgeable recent development field discuss have good number elective student take 3rd 4th year Placements it 100 placement the placement process well regulate fair the college supportive come placement Trainings Placements also provide regular basis Valueformoney Definitely Campus Life there multiple club student part regard emergency oncampus hospital ambulance facilitie Infrastructure Placements Academics Value Money Campus Life
